,tweet_id,favorites,retweet_count
0,666020888022790149,2560,518
1,666029285002620928,130,47
2,666033412701032449,125,44
3,666044226329800704,299,141
4,666049248165822465,109,40
5,666050758794694657,132,58
6,666051853826850816,1228,854
7,666055525042405380,436,257
8,666057090499244032,297,142
9,666058600524156928,112,57
10,666063827256086533,479,223
11,666071193221509120,148,62
12,666073100786774016,323,166
13,666082916733198337,119,45
14,666094000022159362,165,76
15,666099513787052032,158,69
16,666102155909144576,80,13
17,666104133288665088,14400,6659
18,666268910803644416,104,35
19,666273097616637952,176,76
20,666287406224695296,149,68
21,666293911632134144,510,358
22,666337882303524864,199,92
23,666345417576210432,300,140
24,666353288456101888,221,73
25,666362758909284353,781,577
26,666373753744588802,190,93
27,666396247373291520,168,86
28,666407126856765440,110,41
29,666411507551481857,450,330
30,666418789513326592,126,47
31,666421158376562688,319,114
32,666428276349472768,166,84
33,666430724426358785,321,199
34,666435652385423360,168,54
35,666437273139982337,129,50
36,666447344410484738,105,22
37,666454714377183233,529,212
38,666644823164719104,235,85
39,666649482315059201,897,592
40,666691418707132416,190,48
41,666701168228331520,439,223
42,666739327293083650,240,66
43,666776908487630848,360,178
44,666781792255496192,396,203
45,666786068205871104,778,498
46,666804364988780544,244,94
47,666817836334096384,531,258
48,666826780179869698,258,98
49,666835007768551424,220,80
50,666837028449972224,838,568
51,666983947667116034,2614,1013
52,666996132027977728,248,98
53,667012601033924608,459,234
54,667044094246576128,191,51
55,667062181243039745,221,56
56,667065535570550784,169,49
57,667073648344346624,412,127
58,667090893657276420,339,130
59,667119796878725120,335,133
60,667138269671505920,4739,2306
61,667152164079423490,49021,17792
62,667160273090932737,262,65
63,667165590075940865,2756,1190
64,667171260800061440,228,95
65,667174963120574464,255,86
66,667176164155375616,627,474
67,667177989038297088,194,57
68,667182792070062081,14749,6455
69,667188689915760640,766,431
70,667192066997374976,400,110
71,667200525029539841,630,272
72,667211855547486208,505,250
73,667369227918143488,376,169
74,667393430834667520,200,58
75,667405339315146752,476,225
76,667435689202614272,312,85
77,667437278097252352,463,248
78,667443425659232256,806,605
79,667453023279554560,320,93
80,667455448082227200,195,65
81,667470559035432960,264,101
82,667491009379606528,549,237
83,667495797102141441,545,287
84,667502640335572993,546,227
85,667509364010450944,6987,2215
